report,published_at,code,name,original_action,original_condition,original_invalidation,original_horizon,earliest_hypothetical_entry,end,holding_observations,hypothetical_nav_return_pct,same_window_510300_price_return_pct,hypothetical_early_redemption_fee_pct,hypothetical_if_redeemed_at_end_pct,interpretation,source
20260907,2026-09-07T22:38:46+08:00,007467,红利低波,可继续持有；新钱不必全部转科技,希望降低科技集中度时，可继续把红利低波作为另一种选择。若分批买入，应按至少数周考虑；不要只看今天科技大涨就全部换仓。,对应ETF失守滚动20日均线并持续弱于大盘，停止加仓并复核；9月7日均线参考为1.181。,优先按30天以上分批布局,2026-09-08,2026-09-10,2,0.6410199999999922,-0.15138408304498085,1.5,-0.868595300000008,观察/暂停项仅是反事实；条件未证明执行；不是实际成交收益；完整持有期未届满,https://lovenini12344-code.github.io/fund-decision-report/fund_selection_report_20260907.md
20260907,2026-09-07T22:38:46+08:00,009180,主要消费,保留候选，暂不优先于科技修复,已有候选资格保留，但新布局需要消费继续改善；对应ETF维持在旧观察低点0.571之上只是没有失效，不等于立刻需要买。,跌回0.571以下且继续弱于大盘，取消本轮修复布局。,至少覆盖7天费用门槛，优先看数周,2026-09-08,2026-09-10,2,-2.201211999999997,-0.15138408304498085,1.5,-3.6681938199999986,观察/暂停项仅是反事实；条件未证明执行；不是实际成交收益；完整持有期未届满,https://lovenini12344-code.github.io/fund-decision-report/fund_selection_report_20260907.md
20260907,2026-09-07T22:38:46+08:00,010210,计算机,暂不优先，修复力度不足,对应ETF先看能否收复1.189并持续转强；目前不因为科技整体上涨就默认它同样值得买。,收盘失守旧低点1.153，取消本轮短线修复候选；科技题材未转成价格修复时继续次选。,先观察，再确定持有期限,2026-09-08,2026-09-10,2,-1.5343949999999995,-0.15138408304498085,1.5,-3.011379074999998,观察/暂停项仅是反事实；条件未证明执行；不是实际成交收益；完整持有期未届满,https://lovenini12344-code.github.io/fund-decision-report/fund_selection_report_20260907.md
20260907,2026-09-07T22:38:46+08:00,005999,金融地产,暂不新增，净值与产品事项待核,先补9月7日净值、合并规模与公告，再比较替代产品。页面保留旧值和真实日期，不用ETF涨跌假装基金收益。,若出现申赎限制或存续变化，退出优先候选；缺数据不是基金已出问题的证据。,待完成产品核验,2026-09-08,2026-09-10,2,1.1311220000000066,-0.15138408304498085,1.5,-0.3858448299999928,观察/暂停项仅是反事实；条件未证明执行；不是实际成交收益；完整持有期未届满,https://lovenini12344-code.github.io/fund-decision-report/fund_selection_report_20260907.md
20260907,2026-09-07T22:38:46+08:00,008280,煤炭,取消本轮回踩买入判断,新资金暂不按本轮回踩策略介入。重新出现止跌修复后再评估，不因为中东风险就推断煤炭一定上涨。,这里是旧判断已失效，而非等待触发；只有新的价格和行业证据出现，才重新建立候选。,等待新的修复证据,2026-09-08,2026-09-10,2,1.6004990000000108,-0.15138408304498085,1.5,0.07649151499999896,观察/暂停项仅是反事实；条件未证明执行；不是实际成交收益；完整持有期未届满,https://lovenini12344-code.github.io/fund-decision-report/fund_selection_report_20260907.md
20260909,2026-09-09T00:43:42+08:00,007816,综合科技,暂停新买和追加，已有首批先复核,9月9日不继续沿用上一版首批建议。先看收盘能否重新收复滚动20日均线和2.119附近，再决定后续新买。若9月8日已经申购，不倒填为取消，也不因今天改判就机械全赎。,暂停新增条件已触发。若进一步收盘失守9月4日低点2.065，再进入更强的退出复核；2.065只是旧观察锚，不是保证止损成交价。,原计划数周波段；现在暂停追加而非强制隔日换仓,2026-09-09,2026-09-10,1,-0.660000000000005,-0.43131334914814357,1.5,-2.1501000000000103,观察/暂停项仅是反事实；条件未证明执行；不是实际成交收益；完整持有期未届满,https://lovenini12344-code.github.io/fund-decision-report/fund_selection_report_20260909.md
20260909,2026-09-09T00:43:42+08:00,007818,通信设备,科技中优先观察，暂不急着放大仓位,9月9日重点复核回落是否仍能守住修复区域。已有少量仓位可继续观察；新资金若参与，只能按高波动波段做小额尝试，不与其他科技同时新建多仓，也不在盘中跳涨时抢买。,收盘跌回0.664下方且不能收复，暂停本轮新增；若进一步失守旧低点0.634，修复假设失效。盘中仅作风险提示，场外基金不能按这些价格成交。,数周修复波段，不做一两天频繁申赎,2026-09-09,2026-09-10,1,-0.770000000000004,-0.43131334914814357,1.5,-2.2584500000000007,观察/暂停项仅是反事实；条件未证明执行；不是实际成交收益；完整持有期未届满,https://lovenini12344-code.github.io/fund-decision-report/fund_selection_report_20260909.md
20260909,2026-09-09T00:43:42+08:00,007301,半导体,暂不新增，反弹尚未改变弱势,先看能否收复1.020并保住，再评估后续入场；不把新的一天简单当成更便宜的买点。,若收盘跌破旧低点0.966，进一步下调修复判断；短暂突破后又跌回也不算持续转强。,等待新的修复机会，不预设何时见底,2026-09-09,2026-09-10,1,-0.5600000000000049,-0.43131334914814357,1.5,-2.051600000000009,观察/暂停项仅是反事实；条件未证明执行；不是实际成交收益；完整持有期未届满,https://lovenini12344-code.github.io/fund-decision-report/fund_selection_report_20260909.md
20260909,2026-09-09T00:43:42+08:00,007467,红利低波,可按数周分批比较，不当保本产品,准备按30天以上持有、希望减少科技集中度时，可考虑分批参与。若大幅跳涨不急着一次买满，仍保留现金应对变化。,失守滚动20日均线并持续弱于大盘，暂停新增并复核；9月8日均线参考1.1832。,优先按30天以上分批布局,2026-09-09,2026-09-10,1,0.34000000000000696,-0.43131334914814357,1.5,-1.1650999999999967,观察/暂停项仅是反事实；条件未证明执行；不是实际成交收益；完整持有期未届满,https://lovenini12344-code.github.io/fund-decision-report/fund_selection_report_20260909.md
20260909,2026-09-09T00:43:42+08:00,009180,主要消费,保留候选，暂不作为主攻方向,可作为非科技方向继续比较。真正准备新买时，还需确认消费本身改善，而不是因为科技下跌就推断资金一定流入消费。,收盘跌回旧观察低点0.571且持续弱于大盘，取消本轮修复候选。,至少覆盖7天费用门槛，按数周评估,2026-09-09,2026-09-10,1,-1.6900000000000026,-0.43131334914814357,1.5,-3.164650000000002,观察/暂停项仅是反事实；条件未证明执行；不是实际成交收益；完整持有期未届满,https://lovenini12344-code.github.io/fund-decision-report/fund_selection_report_20260909.md
20260909,2026-09-09T00:43:42+08:00,010210,计算机,本轮修复失效，暂不新增,新资金停止按原修复思路介入。若以后重新站稳旧区域，需建立新的判断，不把失效记录删除。,旧修复判断已经失效，而不是仍等触发；若继续创新低，已有仓位进入更强的减仓复核。,等待新的修复证据,2026-09-09,2026-09-10,1,-0.5900000000000016,-0.43131334914814357,1.5,-2.0811499999999983,观察/暂停项仅是反事实；条件未证明执行；不是实际成交收益；完整持有期未届满,https://lovenini12344-code.github.io/fund-decision-report/fund_selection_report_20260909.md
20260909,2026-09-09T00:43:42+08:00,005999,金融地产,净值已补齐，但暂不排首选,继续核全基金规模、最新存续公告与替代产品，再确定具体产品。不能因本次抓到净值就认定所有产品风险都已排除。,若正式公告出现申赎或存续变化，重新评估；数据抓取曾延迟不代表基金有问题。,先补产品证据,2026-09-09,2026-09-10,1,1.0199999999999987,-0.43131334914814357,1.5,-0.4952999999999985,观察/暂停项仅是反事实；条件未证明执行；不是实际成交收益；完整持有期未届满,https://lovenini12344-code.github.io/fund-decision-report/fund_selection_report_20260909.md
20260909,2026-09-09T00:43:42+08:00,008280,煤炭,重新观察，不马上反手追买,保留昨日失效记录，本次恢复观察；只有新的修复持续出现才重新考虑布局，不把一次收回均线直接升级成无条件买入。,再度收盘失守滚动20日均线或旧区域1.286，暂停新的修复判断；震荡期间不反复追进杀出。,先观察新的修复，非日内交易,2026-09-09,2026-09-10,1,-1.3299999999999979,-0.43131334914814357,1.5,-2.8100499999999973,观察/暂停项仅是反事实；条件未证明执行；不是实际成交收益；完整持有期未届满,https://lovenini12344-code.github.io/fund-decision-report/fund_selection_report_20260909.md
